"identifiant";"Opérateur";"Millésime des données";"Énergie concernée";"Code géographique du territoire - Code de la zone";"Code géographique du territoire - Libellé de la zone";"Puissance totale installée sur le réseau (en MW)";"Puissance installée sur le réseau de la filière gaz naturel (en MWh)";"Puissance installée sur le réseau de la filière charbon (en MWh)";"Puissance installée sur le réseau de la filière fioul domestique (en MWh)";"Puissance installée sur le réseau de la filière fioul lourd (en MWh)";"Puissance installée sur le réseau de la filière gpl (en MWh)";"Puissance installée sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Puissance installée sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Puissance installée sur le réseau de la filière biogaz (en MWh)";"Puissance installée sur le réseau de la filière geothermie (en MWh)";"Puissance installée sur le réseau de la filière Pompes à chaleur (en MWh)";"Puissance installée sur le réseau de la filière solaire thermique (en MWh)";"Puissance installée sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Puissance installée sur le réseau de la filière autre chaleur recuperee (en MWh)";"Puissance installée sur le réseau de la filière chaudieres electriques (en MWh)";"Puissance installée sur le réseau de la filière autres (en MWh)";"Production totale thermique du réseau (en MW)";"Production thermique sur le réseau de la filière gaz naturel (en MWh)";"Production thermique sur le réseau de la filière charbon (en MWh)";"Production thermique sur le réseau de la filière fioul domestique (en MWh)";"Production thermique sur le réseau de la filière fioul lourd (en MWh)";"Production thermique sur le réseau de la filière gpl (en MWh)";"Production thermique sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Production thermique sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Production thermique sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Production thermique sur le réseau de la filière biogaz (en MWh)";"Production thermique sur le réseau de la filière geothermie (en MWh)";"Production thermique sur le réseau de la filière Pompes à chaleur (en MWh)";"Production thermique sur le réseau de la filière solaire thermique (en MWh)";"Production thermique sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Production thermique sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Production thermique sur le réseau de la filière autre chaleur recuperee (en MWh)";"Production thermique sur le réseau de la filière chaudieres electriques (en MWh)";"Production thermique sur le réseau de la filière autres (en MWh)";"Niveau de rejet de CO2 des réseaux (en kg/kWh)";"Pourcentage de chaleur produite par cogénération (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gaz naturel (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière charbon (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul domestique (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul lourd (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gpl (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière bois-énergie et résidus agricoles (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière déchets urbains incinérés en interne (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière biogaz (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière autres (en pourcent)";"Nombre de points de livraison";"Consommation totale (en MWh)";"Consommation dans le secteur résidentiel (en MWh)";"Consommation dans le secteur tertiaire (en MWh)";"Consommation dans le secteur industriel (en MWh)";"Consommation dans le secteur agricole (en MWh)";"Consommation non affectée dans l'un des quatres secteur (en MWh)"
"9232C";"RESEAU QUARTIER HOCHE";"2018";"C";"92050";"Nanterre";5;3.4;;;;;1.6;;;;;;;;;;;;7794;2618;;;;;5176;;;;;;;;;;;;0.078097015;;;;;;;;;;;11;7471;7471;;;;
"9233C";"Réseau de la Zac de la Marine";"2018";"C";"92025";"Colombes";7.12;5.56;;;;;1.33;;;0.23;;;;;;;;;9706;4552;;;;;3638;;;1516;;;;;;;;;0.098904752;;;;;;;;;;;20;9260;8890;370;;;
"9235C";"Réseau de CLICHY";"2018";"C";"92024";"Clichy";77;41.5;;;;;7;;;28.5;;;;;;;;;202760;60114;;;;;30847;;;41343;;;;;;70456;;;0.177826075;;;;;;;;;;;213;141494;84896;35374;;;21224
"9236C";"Réseau de Bagneux-Chatillon";"2018";"C";"92007";"Bagneux";38;23.5;;;;;;;;;8.5;6;;;;;;;76416;30761;;;;;;;;;29371;16284;;;;;;;0.092341786;20.814;51.75;;;;;;;;;68;70961;58188;12773;;;
"9301C";"Réseau de Saint Denis";"2018";"C";"93066";"Saint-Denis";194.6;147;;;;;47.5;;;0.1;;;;;;;;;380269;174741;;;;;202796;;;2732;;;;;;;;;0.116400485;;;;;;;;;;;432;341173;187645;153528;;;
"9302C";"Réseau de Bagnolet";"2018";"C";"93006";"Bagnolet";118.08;78.9;;15.58;;;23.5;;;0.1;;;;;;;;;136067;60237;;2309;;;70885;;;2636;;;;;;;;;0.126048303;;;;;;;;;;;149;115987;63793;52194;;;
"9303C";"Zup de Bobigny";"2018";"C";"93008";"Bobigny";79.65;79.65;;;;;;;;;;;;;;;;;86102.0924;86102.0924;;;;;;;;;;;;;;;;;0.213829799;60.464;6.464;;;;;;;;;54;86203;64652;21551;;;
"9304C";"Zac de Sevran";"2018";"C";"93071";"Sevran";81.86;68.22;;;;;13.64;;;;;;;;;;;;85383;39173;;;;;46210;;;;;;;;;;;;0.120649515;17.437;38.6;;;;;;;;;53;76220;59452;16768;;;
"9305C";"Zup des Fauvettes";"2018";"C";"93050";"Neuilly-sur-Marne";37.7;18;;;;;;;;;12;7.7;;;;;;;69504.44;29179.44;;;;;;;;;27660;12665;;;;;;;0.120304339;;;;;;;;;;;44;58908;47715;11193;;;
"9306C";"Réseau de Villepinte";"2018";"C";"93078";"Villepinte";39;29;;;;;;;;;10;;;;;;;;43773;8733;;;;;;;;;35040;;;;;;;;0.048412906;;;;;;;;;;;51;38849;25640;13209;;;
"9309C";"SEBIO";"2018";"C";"93071";"Sevran";42.2;34.7;;;;;7.5;;;;;;;;;;;;44793;20122;;;;;24671;;;;;;;;;;;;0.081989452;38.412;85.58;;;;;;;;;41;38068;36165;1903;;;
"9310C";"Réseau chaud ADP le Bourget";"2018";"C";"93013";"Le Bourget";24;24;;;;;;;;;;;;;;;;;10532;10532;;;;;;;;;;;;;;;;;0.272944191;;;;;;;;;;;21;7902;;7902;;;
"9311C";"Le Chêne Pointu";"2018";"C";"93014";"Clichy-sous-Bois";24.7;24.7;;;;;;;;;;;;;;;;;42125;42125;;;;;;;;;;;;;;;;;0.224608873;23.753;23.753;;;;;;;;;27;38577;36262;2315;;;
"9312C";"Le Gros Saule";"2018";"C";"93005";"Aulnay-sous-Bois";39.8;27.8;;3;9;;;;;;;;;;;;;;51538;50783;;755;;;;;;;;;;;;;;;0.192737703;56.327;57.165;;;;;;;;;36;48893;45959;2934;;;
"9313C";"Réseau de La Courneuve";"2018";"C";"93027";"La Courneuve";41.4;33.6;;;;;;;;;7.8;;;;;;;;68943.5392;31474.5392;;;;;;;;;36745;;;;;724;;;0.088439319;22.521;49.332;;;;;;;;;106;65752;59177;6575;;;
"9314C";"Réseau de Tremblay en France";"2018";"C";"93073";"Tremblay-en-France";38.8;27;;;;;;;;;11.8;;;;;;;;49835.87;10713.87;;;;;;;;;39122;;;;;;;;0.054160893;;;;;;;;;;;68;45058;40552;4506;;;
"9315C";"Réseau du Blanc Mesnil";"2018";"C";"93007";"Le Blanc-Mesnil";33.08;20.96;;;;;;;;;8.12;4;;;;;;;38235;17055;;;;;;;;;14171;7009;;;;;;;0.095951073;41.064;92.61;;;;;;;;;19;"secret";"secret";4252;;;
"9316C";"Reseau de Bondy";"2018";"C";"93010";"Bondy";28.9;23.9;;;;;5;;;;;;;;;;;;34578;17120;;;;;17458;;;;;;;;;;;;0.114520447;15.206;3.713;;;;;;;;;22;31105;19596;11509;;;
"9317C";"Garonor";"2018";"C";"93005";"Aulnay-sous-Bois";16.7;16.7;;;;;;;;;;;;;;;;;5626.67;5626.67;;;;;;;;;;;;;;;;;0.28585943;84.928;84.928;;;;;;;;;68;3717;;;3717;;
"9324C";"Réseau de Rosny-sous-Bois /Noisy-le-Sec / Montreui";"2018";"C";"93064";"Rosny-sous-Bois";63;46;;;;;;;;;14;3;;;;;;;63419;8001;;;;;;;;;46981;8437;;;;;;;0.063401065;;;;;;;;;;;11;56325;38301;18024;;;
"9326C";"Réseau de chaleur de la ZAC des docks Saint-Ouen";"2018";"C";"93070";"Saint-Ouen";3;;;;;;;;3;;;;;;;;;;19573;;;;;;;;13071;;;;;;;6502;;;0.057937351;;;;;;;;;;;26;18712;16279;2433;;;
"9401C";"Réseau de Limeil-Brévannes";"2018";"C";"94044";"Limeil-Brévannes";12.09;6.7;;;;;3;;;;;0.04;1.8;;;;0.55;;14956;4021;;;;;9422;;;;;46;;;;;457;1010;0.077679308;;;;;;;;;;;36;13092;12293;799;;;
"9402C";"Réseaux de Créteil - Scuc";"2018";"C";"94028";"Créteil";304;227;;32;;;;;24;;13;8;;;;;;;301706.3841;127134.5027;;2122.8814;;;;;118571;;51643;2235;;;;;;;0.092574912;11.072;26.275;;;;;;;;;310;303551;227663;72852;3036;;
"9403C";"Réseau de Choisy-Vitry";"2018";"C";"94081";"Vitry-sur-Seine";22;;;;;;;;22;;;;;;;;;;226638;;;;;;;;51961;;;;;;;174677;;;0.153212649;;;;;;;;;;;225;190096;152077;38019;;;
"9404C";"Réseau de Fontenay sous Bois";"2018";"C";"94033";"Fontenay-sous-Bois";117.1;100.1;;;;;17;;;;;;;;;;;;138596.2;116778;;;;;21818.2;;;;;;;;;;;;0.185319026;43.45;51.568;;;;;;;;;108;116667;64167;52500;;;
"9406C";"Réseau de GEOTELLUENCE";"2018";"C";"94041";"Ivry-sur-Seine";13.7;;;3.7;;;;;;;10;;;;;;;;70547;;;3857;;;;;;;19533;;;;;47157;;;0.133476383;;;;;;;;;;;21;68308;8880;59428;;;
"9408C";"Marché International de Rungis";"2018";"C";"94065";"Rungis";75;15;;;20;;;;40;;;;;;;;;;161430.78;1227.96;;;122.82;;;;160080;;;;;;;;;;0.002352715;;;;;;;;;;;164;61941;;61941;;;
"9409C";"Réseau de Sucy en Brie";"2018";"C";"94071";"Sucy-en-Brie";23.9;12.6;;0.1;;;;;;;11.2;;;;;;;;31377;4098;;83;;;;;;;27196;;;;;;;;0.034570929;;;;;;;;;;;23;27471;24999;2472;;;
"9410C";"Réseau de Cachan";"2018";"C";"94016";"Cachan";52;41;;;;;;;;;11;;;;;;;;64497;15267;;;;;;;;;49230;;;;;;;;0.056504107;;;;;;;;;;;55;59901;31748;28153;;;
"9411C";"Réseau de Champigny sur Marne";"2018";"C";"94017";"Champigny-sur-Marne";67;55;;;;;;;;;12;;;;;;;;79906;25860;;;;;;;;;54046;;;;;;;;0.069215129;16.771;51.821;;;;;;;;;47;73786;67846;5940;;;
"9412C";"Réseau de maisons-alfort";"2018";"C";"94046";"Maisons-Alfort";75.7;35.7;;8;;;;;;;20;4;;;;8;;;133507;58859;;4774;;;;;;;53217;11947;;;;4710;;;0.114004858;26.1;59.21;;;;;;;;;95;122692;111650;9815;1227;;
"9413C";"Réseau de Thiais";"2018";"C";"94073";"Thiais";31.54;20.34;;;;;;;;;11.2;;;;;;;;37592;9895;;;;;;;;;27697;;;;;;;;0.068028493;;;;;;;;;;;37;33131;29155;3976;;;
"9414C";"SETBO";"2018";"C";"94011";"Bonneuil-sur-Marne";24;14;;;;;;;;;;10;;;;;;;10431.18;10431.18;;;;;;;;;;;;;;;;;0.196867171;;;;;;;;;;;55;34917;30029;4888;;;
"9415C";"Réseau de Chevilly-Larue L'Haÿ-les-Roses Villejuif";"2018";"C";"94021";"Chevilly-Larue";140.3;107.3;;;;;;;;;33;;;;;;;;209709.65;74626.48;;;;;;;;;135083.17;;;;;;;;0.082280737;24.968;7.164;;;;;;;;;202;196056;147042;49014;;;
"9419C";"Réseau de Fresnes";"2018";"C";"94034";"Fresnes";72.02;48.82;;14;;;;;;;6;3.2;;;;;;;85542;37764;;29;;;;;;;39603;8146;;;;;;;0.092777275;29.16;66.52;;;;;;;;;97;81548;61977;7339;;;12232
"9420C";"Réseau d'Orly";"2018";"C";"94054";"Orly";51;36;;;;;;;;;15;;;;;;;;79215;31224;;;;;;;;;47991;;;;;;;;0.08633724;;;;;;;;;;;116;74140;64502;9638;;;
"9421C";"Reseau  d'Alfortville - Smag";"2018";"C";"94002";"Alfortville";48;25;;10;;;;;;;13;;;;;;;;49580.65;12115.98;;2.67;;;;;;;37462;;;;;;;;0.058202846;;;;;;;;;;;70;47430;39841;7589;;;
"9422C";"Arcueil-Gentilly";"2018";"C";"94003";"Arcueil";51;35.1;;;;;;;;;13.7;2.2;;;;;;;68082;10155;;;;;;;;;51826;6101;;;;;;;0.055754533;;;;;;;;;;;110;63540;50832;12708;;;
"9423C";"Réseau d'Ivry";"2018";"C";"94041";"Ivry-sur-Seine";44;44;;;;;;;;;;;;;;;;;66199;6019;;;;;;;;;;;;;;60180;;;0.145474951;;;;;;;;;;;52;63625;53445;10180;;;
"9424C";"Réseau de Villeneuve Saint Georges";"2018";"C";"94078";"Villeneuve-Saint-Georges";27.2;17.2;;;;;;;;;10;;;;;;;;50157;24934;;;;;;;;;25223;;;;;;;;0.113793763;31.397;63.159;;;;;;;;;65;43851;36396;7016;;439;
"9425C";"Réseau chaud ADP Orly";"2018";"C";"94054";"Orly";83;63;;;;;;;10;;10;;;;;;;;77220;28479;;;;;;;21456;;27285;;;;;;;;0.08368612;;;;;;;;;;;78;67368;;;;;67368
"9501C";"Zac Croix Rouge";"2018";"C";"95607";"Taverny";23;11.5;;;;;;;;11.5;;;;;;;;;12797.19;12090.87;;;;;;;;706.32;;;;;;;;;0.227643536;;;;;;;;;;;15;"secret";"secret";847;;;
"9502C";"Grand Ensemble Sarcelles-Locheres";"2018";"C";"95585";"Sarcelles";190;150;;;;;;;40;;;;;;;;;;212797;64173;;;;;;;148624;;;;;;;;;;0.069006462;13.014;43.155;;;;;;;;;156;184385;158571;25814;;;
"9503C";"Réseau de Cergy - Pontoise";"2018";"C";"95127";"Cergy";192;80;52;;;;30;;30;;;;;;;;;;433656;131516;45619;;;;70932;;184414;;;;;;;1175;;;0.159559653;;;;;;;;;;;368;334924;224399;100477;10048;;
"9505C";"Van Gogh";"2018";"C";"95268";"Garges-lès-Gonesse";21.88;21.88;;;;;;;;;;;;;;;;;27213;27213;;;;;;;;;;;;;;;;;0.181202263;51.244;51.244;;;;;;;;;27;27222;24500;2722;;;
"9507C";"Zup de Sannois - Ermont - Franconville";"2018";"C";"95252";"Franconville";72.7;62.7;;;;;10;;;;;;;;;;;;75797;36238;;;;;39559;;;;;;;;;;;;0.112911755;14.494;3.316;;;;;;;;;63;67919;64523;3396;;;
"9509C";"Réseau d'Argenteuil";"2018";"C";"95018";"Argenteuil";88.7;67;;;;;1.7;;20;;;;;;;;;;109936;38877;;;;;2952;;68107;;;;;;;;;;0.086003624;;;;;;;;;;;79;100441;65287;35154;;;
"9510C";"Réseaux chaud ADP Roissy";"2018";"C";"95527";"Roissy-en-France";336.61;178.31;;140;;;14;;;;;4.3;;;;;;;230392;165119;;1435;;;61102;;;;;2736;;;;;;;0.193246998;;;;;;;;;;;217;191720;;191720;;;
"9511C";"Zup de l'Epine Guyon";"2018";"C";"95252";"Franconville";7.9;7.9;;;;;;;;;;;;;;;;;9184;9184;;;;;;;;;;;;;;;;;0.177524016;63.97;63.97;;;;;;;;;14;9015;8384;631;;;
"9514C";"Réseau de Villiers le Bel - Gonesse";"2018";"C";"95680";"Villiers-le-Bel";25.72;9;;5.82;;;;;;;4.6;;;;;6.3;;;57783;258;;23;;;;;;;37359;;;;;20143;;;0.083223045;;;;;;;;;;;61;50409;37807;12602;;;
"9515C";"Réseau de Pontoise";"2018";"C";"95500";"Pontoise";25.5;25.5;;;;;;;;;;;;;;;;;30664;30664;;;;;;;;;;;;;;;;;0.221290583;45.333;45.333;;;;;;;;;12;25029;1752;23277;;;
"9516C";"Zac de Montedour";"2018";"C";"95252";"Franconville";18.8;18.8;;;;;;;;;;;;;;;;;18619;18619;;;;;;;;;;;;;;;;;0.229310485;;;;;;;;;;;17;18141;17960;181;;;
"9518C";"Réseau de Goussainville";"2018";"C";"95280";"Goussainville";11;6;;;;;;;;;;;;;;5;;;25505;1710;;;;;;;;;;;;;;23795;;;0.01643216;;;;;;;;;;;6;"secret";"secret";;;;
"1106F";"MCO CEF";"2018";"F";"11069";"Carcassonne";0.01;;;;;;;;;;;;;;;;;;4840;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;1;4840;;4840;;;
"1301F";"Réseau de froid Thassalia Marseille";"2018";"F";"13202";"Marseille 2e Arrondissement";8;;;;;;;;;;;;;;;;;;6427;;;;;;;;;;;;;;;;;;0.012352533;;;;;;;;;;;10;4323;;4323;;;
"3101F";"CANCEROPOLE";"2018";"F";"31555";"Toulouse";15.8;;;;;;;;;;;;;;;;;;19500;;;;;;;;;;;;;;;;;;0.011033846;;;;;;;;;;;8;19500;;19500;;;
"3301F";"LASERIS";"2018";"F";"33029";"Le Barp";6;;;;;;;;;;;;;;;;;;14770;;;;;;;;;;;;;;;;;;0.014621285;;;;;;;;;;;11;13427;;;13427;;
"3302F";"BASSINS A FLOT - Froid";"2018";"F";"33063";"Bordeaux";;;;;;;;;;;;;;;;;;;3078;;;;;;;;;;;;;;;;;;0.012215724;;;;;;;;;;;14;3078;;3078;;;
"3401F";"Polygone Antigone";"2018";"F";"34172";"Montpellier";18.9;;;;;;;;;;;;;;;;;;24325;;;;;;;;;;;;;;;;;;0.054005278;;;;;;;;;;;54;19704;;19704;;;
"3402F";"Ernest Granier";"2018";"F";"34172";"Montpellier";0.95;;;;;;;;;;;;;;;;;;1155;;;;;;;;;;;;;;;;;;0.013541126;;;;;;;;;;;6;1155;;1155;;;
"3403F";"Port Marianne/Odysseum";"2018";"F";"34172";"Montpellier";11.8;;;;;;;;;;;;;;;;;;18023;;;;;;;;;;;;;;;;;;0.012559507;;;;;;;;;;;24;18023;;18023;;;
"3406F";"Réseau arche Jacques Coeur";"2018";"F";"34172";"Montpellier";0.9;;;;;;;;;;;;;;;;;;938;;;;;;;;;;;;;;;;;;0.013091684;;;;;;;;;;;2;"secret";"secret";590.94;;;
"3411F";"MUSE";"2018";"F";"34172";"Montpellier";15.785;;;;;;;;;;;;;;;;;;30875;;;;;;;;;;;;;;;;;;0.007517655;;;;;;;;;;;5;30875;;7718.75;23156.25;;
"3802F";"Réseau froid CCIAG Grenoble";"2018";"F";"38185";"Grenoble";8.65;;;;;;;;;;;;;;;;;;3587;;;;;;;;;;;;;;;;;;0.039632004;;;;;;;;;;;6;3587;;3587;;;
"4213F";"Réseaux de Froid VIACONFORT";"2018";"F";"42218";"Saint-Étienne";5;;;;;;;;;;;;;;;;;;3258;;;;;;;;;;;;;;;;;;0.013679946;;;;;;;;;;;9;2962;;2962;;;
"5714F";"Réseau  Zac Amphithéâtre";"2018";"F";"57463";"Metz";9.26;;;;;;;;;;;;;;;;;;8562;;;;;;;;;;;;;;;;;;0.011806309;;;;;;;;;;;13;8483.6;;8483.6;;;
"6905F";"Réseau de Lyon";"2018";"F";"69383";"Lyon 3e Arrondissement";33;;;;;;;;;;;;;;;;;;46717;;;;;;;;;;;;;;;;;;0.0101369;;;;;;;;;;;95;41125;16038.75;25086.25;;;
"7503F";"Réseau Climespace";"2018";"F";"75101";"Paris 1er Arrondissement";147;;;;;;;;;;;;;;;;;;528392;;;;;;;;;;;;;;;;;;0.007248887;;;;;;;;;;;664;"secret";"secret";474001.4824;;;11322.7748
"9219F";"Réseau froid Seguin Rives de Seine";"2018";"F";"92012";"Boulogne-Billancourt";7;;;;;;;;;;;;;;;;;;17471;;;;;;;;;;;;;;;;;;0.013352209;;;;;;;;;;;18;16953;;14410.05;2542.95;;
"9225F";"Réseau de La Défense";"2018";"F";"92026";"Courbevoie";105;;;;;;;;;;;;;;;;;;119093;;;;;;;;;;;;;;;;;;0.011774767;;;;;;;;;;;200;116466;;116466;;;
"9231F";"Réseau Suc - Société Urbaine de Climatisation";"2018";"F";"92026";"Courbevoie";76.5;;;;;;;;;;;;;;;;;;81345;;;;;;;;;;;;;;;;;;0.009507653;;;;;;;;;;;69;48080;;48080;;;
"9234F";"Cristalia";"2018";"F";"92044";"Levallois-Perret";13;;;;;;;;;;;;;;;;;;7838;;;;;;;;;;;;;;;;;;0.012344625;;;;;;;;;;;12;7498;;7498;;;
"9310F";"Réseau froid ADP Le Bourget";"2018";"F";"93013";"Le Bourget";0.55;;;;;;;;;;;;;;;;;;676;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;5;486;;486;;;
"9322F";"Stade Energies SAS";"2018";"F";"93066";"Saint-Denis";35;;;;;;;;;;;;;;;;;;29970;;;;;;;;;;;;;;;;;;0.007300369;;;;;;;;;;;21;28152;;28152;;;
"9425F";"Réseau froid ADP Orly";"2018";"F";"94054";"Orly";24;;;;;;;;;;;;;;;;;;28144;;;;;;;;;;;;;;;;;;0.009621944;;;;;;;;;;;17;28144;;28144;;;
"9510F";"Réseau froid ADP Roissy";"2018";"F";"95527";"Roissy-en-France";70;;;;;;;;;;;;;;;;;;127059;;;;;;;;;;;;;;;;;;0.010898652;;;;;;;;;;;115;110421;;110421;;;
