Date,dioxyde d'azote  (µg/m³),Station
2014-04-01,15,Gresivaudan Periurbain
2014-05-01,10,Gresivaudan Periurbain
2014-06-01,12,Gresivaudan Periurbain
2014-07-01,9,Gresivaudan Periurbain
2014-08-01,8,Gresivaudan Periurbain
2014-09-01,10,Gresivaudan Periurbain
2014-10-01,20,Gresivaudan Periurbain
2014-11-01,25,Gresivaudan Periurbain
2014-12-01,28,Gresivaudan Periurbain
2015-01-01,30,Gresivaudan Periurbain
2015-02-01,33,Gresivaudan Periurbain
2015-03-01,24,Gresivaudan Periurbain
2015-04-01,15,Gresivaudan Periurbain
2015-05-01,10,Gresivaudan Periurbain
2015-06-01,10,Gresivaudan Periurbain
2015-07-01,9,Gresivaudan Periurbain
2015-08-01,,Gresivaudan Periurbain
2015-09-01,10,Gresivaudan Periurbain
2015-10-01,18,Gresivaudan Periurbain
2015-11-01,26,Gresivaudan Periurbain
2015-12-01,30,Gresivaudan Periurbain
2016-01-01,29,Gresivaudan Periurbain
2016-02-01,20,Gresivaudan Periurbain
2016-03-01,20,Gresivaudan Periurbain
2016-04-01,10,Gresivaudan Periurbain
2016-05-01,8,Gresivaudan Periurbain
2016-06-01,8,Gresivaudan Periurbain
2016-07-01,9,Gresivaudan Periurbain
2016-08-01,8,Gresivaudan Periurbain
2016-09-01,13,Gresivaudan Periurbain
2016-10-01,15,Gresivaudan Periurbain
2016-11-01,22,Gresivaudan Periurbain
2016-12-01,31,Gresivaudan Periurbain
2017-01-01,33,Gresivaudan Periurbain
2017-02-01,23,Gresivaudan Periurbain
2014-02-07,,Rocade Sud Eybens
2017-02-06,,Rocade Sud Eybens
2014-03-01,39,Roussillon
2014-04-01,27,Roussillon
2014-05-01,19,Roussillon
2014-06-01,24,Roussillon
2014-07-01,24,Roussillon
2014-08-01,27,Roussillon
2014-09-01,28,Roussillon
2014-10-01,28,Roussillon
2014-11-01,31,Roussillon
2014-12-01,31,Roussillon
2015-01-01,36,Roussillon
2015-02-01,30,Roussillon
2015-03-01,35,Roussillon
2015-04-01,27,Roussillon
2015-05-01,22,Roussillon
2015-06-01,23,Roussillon
2015-07-01,22,Roussillon
2015-08-01,23,Roussillon
2015-09-01,23,Roussillon
2015-10-01,29,Roussillon
2015-11-01,34,Roussillon
2015-12-01,35,Roussillon
2016-01-01,29,Roussillon
2016-02-01,28,Roussillon
2016-03-01,29,Roussillon
2016-04-01,21,Roussillon
2016-05-01,18,Roussillon
2016-06-01,16,Roussillon
2016-07-01,22,Roussillon
2016-08-01,26,Roussillon
2016-09-01,25,Roussillon
2016-10-01,26,Roussillon
2016-11-01,28,Roussillon
2016-12-01,40,Roussillon
2017-01-01,36,Roussillon
2017-02-01,29,Roussillon
2014-03-01,36,Roches-de-Condrieu
2014-04-01,19,Roches-de-Condrieu
2014-05-01,13,Roches-de-Condrieu
2014-06-01,15,Roches-de-Condrieu
2014-07-01,14,Roches-de-Condrieu
2014-08-01,15,Roches-de-Condrieu
2014-09-01,17,Roches-de-Condrieu
2014-10-01,18,Roches-de-Condrieu
2014-11-01,22,Roches-de-Condrieu
2014-12-01,17,Roches-de-Condrieu
2015-01-01,23,Roches-de-Condrieu
2015-02-01,20,Roches-de-Condrieu
2015-03-01,22,Roches-de-Condrieu
2015-04-01,15,Roches-de-Condrieu
2015-05-01,9,Roches-de-Condrieu
2015-06-01,13,Roches-de-Condrieu
2015-07-01,12,Roches-de-Condrieu
2015-08-01,12,Roches-de-Condrieu
2015-09-01,11,Roches-de-Condrieu
2015-10-01,21,Roches-de-Condrieu
2015-11-01,28,Roches-de-Condrieu
2015-12-01,28,Roches-de-Condrieu
2016-01-01,25,Roches-de-Condrieu
2016-02-01,19,Roches-de-Condrieu
2016-03-01,16,Roches-de-Condrieu
2016-04-01,11,Roches-de-Condrieu
2016-05-01,11,Roches-de-Condrieu
2016-06-01,12,Roches-de-Condrieu
2016-07-01,13,Roches-de-Condrieu
2016-08-01,14,Roches-de-Condrieu
2016-09-01,15,Roches-de-Condrieu
2016-10-01,20,Roches-de-Condrieu
2016-11-01,24,Roches-de-Condrieu
2016-12-01,40,Roches-de-Condrieu
2017-01-01,32,Roches-de-Condrieu
2017-02-01,23,Roches-de-Condrieu
2014-03-01,19,Sablons
2014-04-01,14,Sablons
2014-05-01,6,Sablons
2014-06-01,8,Sablons
2014-07-01,8,Sablons
2014-08-01,9,Sablons
2014-09-01,12,Sablons
2014-10-01,14,Sablons
2014-11-01,18,Sablons
