id_lieu,geo_point_2d,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,xlong,ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
38486-C-003,"45.166008,5.6889472",Le Prisme,Avenue de Grenoble,Seyssins,38486,Aire de covoiturage,2019-10-15,true,200040715,5.6889472,45.166008,1,0,"","",Grenoble-Alpes Métropole,true,""
38068-C-001,"45.1347356,5.7144008",La Combe,Route de Champagnier,Champagnier,38068,Aire de covoiturage,2019-10-15,true,200040715,5.7144008,45.1347356,1,0,"","",Grenoble-Alpes Métropole,true,""
38071-C-003,"45.087521,5.730325",Pont de Champ,2 route de Saint-Georges-de-Commiers,Champ-sur-Drac,38071,Aire de covoiturage,2019-10-15,true,200040715,5.730325,45.087521,1,0,"","",Grenoble-Alpes Métropole,true,""
38529-C-004,"45.122137,5.814817",Ecoles,Avenue d'Uriage,Vaulnaveys-le-Haut,38529,Aire de covoiturage,2019-10-15,true,200040715,5.814817,45.122137,1,0,"","",Grenoble-Alpes Métropole,true,""
38158-C-001,"45.1470454,5.7547821",Le Verderet,Route de Grenoble,Eybens,38158,Aire de covoiturage,2019-10-15,true,200040715,5.7547821,45.1470454,1,0,"","",Grenoble-Alpes Métropole,true,""
38516-C-001,"45.204612,5.737859",Bastille,Grande Rue,La Tronche,38516,Aire de covoiturage,2019-10-17,true,200040715,5.737859,45.204612,1,0,"","",Grenoble-Alpes Métropole,true,""
38485-C-001,"45.175942268092335,5.686616999897877",Hector Berlioz,Avenue Hector Berlioz,Seyssinet-Pariset,38485,Aire de covoiturage,2019-10-17,true,200040715,5.686616999897877,45.175942268092335,1,0,"","",Grenoble-Alpes Métropole,true,""
38314-C-002,"45.432399,6.01902",Mairie,Avenue de la Gare,Pontcharra,38314,Aire de covoiturage,2020-03-11,true,200018166,6.01902,45.432399,1,,"","",Le Grésivaudan,"",ecov
38439-C-001,"45.371301,6.050721",Crêts-en-Belledone - D525,Carrefour D525/D280,Crêts-en-Belledone,38439,Aire de covoiturage,2020-10-12,true,200018166,6.050721,45.371301,1,,"","",Le Grésivaudan,"",ecov
38511-C-001,"45.357916,5.955165",Grandes Terres,D1090,Le Touvet,38511,Aire de covoiturage,2020-10-12,true,200018166,5.955165,45.357916,1,,"","",Le Grésivaudan,true,ecov
38524-C-001,"45.102629,5.686001",Rochefort,D1075,Varces-Allières-et-Risset,38524,Aire de covoiturage,2021-02-04,true,200040715,5.686001,45.102629,1,,"","",Grenoble-Alpes Métropole,true,""
38185-C-006,"45.180161,5.704659",Catane,"D1532, Pont de Catane",Grenoble,38185,Aire de covoiturage,2021-02-04,true,200040715,5.704659,45.180161,1,,"","",Grenoble-Alpes Métropole,true,ecov
38185-C-007,"45.187312,5.737139",Grenoble Hôtel de Ville,Boulevard Jean Pain,Grenoble,38185,Aire de covoiturage,2021-03-18,true,200040715,5.737139,45.187312,1,,"","",Grenoble-Alpes Métropole,true,ecov
38421-C-002,"45.18414,5.76851",Champ Roman,Champ Roman,Saint-Martin-d'Hères,38421,Aire de covoiturage,2022-02-18,true,200040715,5.76851,45.18414,1,,"","",Grenoble-Alpes Métropole,true,ecov
38422-C-002,"45.14389,5.82955",Gare,Gare,Saint-Martin-d'Uriage,38422,Aire de covoiturage,2022-02-18,true,200040715,5.82955,45.14389,1,,"","",Grenoble-Alpes Métropole,true,ecov
38397-C-002,"45.241137,5.846864",La Bâtie,La Bâtie,Saint-Ismier,38397,Aire de covoiturage,2022-05-12,true,200040715,5.846864,45.241137,1,,"","",Grenoble-Alpes Métropole,true,ecov
38133-C-001,"45.353778,5.597796",Plan Menu,Plan Menu,Coublevie,38133,Aire de covoiturage,2022-09-12,true,200040715,5.597796,45.353778,1,,"","",Grenoble-Alpes Métropole,true,ecov
