IRIS,COM,TYP_IRIS,LAB_IRIS,P21_POP,P21_POP0002,P21_POP0305,P21_POP0610,P21_POP1117,P21_POP1824,P21_POP2539,P21_POP4054,P21_POP5564,P21_POP6579,P21_POP80P,P21_POP0014,P21_POP1529,P21_POP3044,P21_POP4559,P21_POP6074,P21_POP75P,P21_POP0019,P21_POP2064,P21_POP65P,P21_POPH,P21_H0014,P21_H1529,P21_H3044,P21_H4559,P21_H6074,P21_H75P,P21_H0019,P21_H2064,P21_H65P,P21_POPF,P21_F0014,P21_F1529,P21_F3044,P21_F4559,P21_F6074,P21_F75P,P21_F0019,P21_F2064,P21_F65P,C21_POP15P,C21_POP15P_CS1,C21_POP15P_CS2,C21_POP15P_CS3,C21_POP15P_CS4,C21_POP15P_CS5,C21_POP15P_CS6,C21_POP15P_CS7,C21_POP15P_CS8,C21_H15P,C21_H15P_CS1,C21_H15P_CS2,C21_H15P_CS3,C21_H15P_CS4,C21_H15P_CS5,C21_H15P_CS6,C21_H15P_CS7,C21_H15P_CS8,C21_F15P,C21_F15P_CS1,C21_F15P_CS2,C21_F15P_CS3,C21_F15P_CS4,C21_F15P_CS5,C21_F15P_CS6,C21_F15P_CS7,C21_F15P_CS8,P21_POP_FR,P21_POP_ETR,P21_POP_IMM,P21_PMEN,P21_PHORMEN
381850104,38185,H,1,2385.5921802005,78.740890491701,50.5119656421954,73.2211275265744,97.5221387144804,535.633597079423,761.15517681095,371.629500437532,159.712407262948,170.427200409732,87.0381758249593,278.067473417795,872.173442494809,593.485812793569,306.60942544345,216.075044300004,119.180981750868,373.436613591667,1754.69019037414,257.465376234691,1208.1390455107,122.818224764735,475.020247498519,311.428412082127,166.532394475965,91.0462249852325,41.2935417041182,166.916442428661,946.069754192991,95.152848889044,1177.4531346898,155.24924865306,397.15319499629,282.057400711442,140.077030967486,125.028819314772,77.88744004675,206.520171163005,808.620436181147,162.312527345647,2018.93207327962,0.0,21.7830319831809,650.649204328691,350.814600736085,233.15625516489,101.715918314745,235.871000987399,424.94206176463,1016.82076013753,0.0,17.9170796714765,377.014705555836,180.695818789064,79.6301573147743,82.0922006531555,90.2360418439342,189.234756309284,1002.1113131421,0.0,3.86595231170444,273.634498772855,170.118781947021,153.526097850115,19.6237176615899,145.634959143464,235.707305455346,2123.50149325269,262.09068694781,367.84492822712,2342.5921230878,43.0000571126991
381850105,38185,H,1,1757.83715536886,46.2655468740059,27.0762647004088,48.1974382829829,77.7301963424422,568.275103084713,475.008209161076,201.359995017214,84.6574062852701,138.676187747932,90.5908078728138,162.865627658234,838.498572117918,341.990144584445,122.798372983614,185.709886118891,105.974551905757,362.309616144212,1166.2605436039,229.266995620746,847.402355297406,76.4560413311739,435.801180599748,179.856032272901,60.4876231560153,70.4379792744819,24.3634986630852,150.460695937793,625.8289544339,71.1127049257125,910.434800071454,86.40958632706,402.69739151817,162.134112311544,62.3107498275985,115.271906844409,81.6110532426719,211.848920206419,540.431589170001,158.154290695033,1642.49697836751,0.0,17.2859713827805,466.455515036488,219.734174846619,147.167387705393,41.6118429492868,266.762881172809,483.479205274138,777.072770883837,0.0,5.12676972506257,300.143597373095,100.02413678986,61.7388625632214,41.6118429492868,78.0555294126544,190.372032070657,865.424207483677,0.0,12.159201657718,166.311917663393,119.710038056759,85.4285251421715,0.0,188.707351760155,293.107173203481,1552.56783498513,205.269320383727,217.277974556613,1708.83709028695,49.0000650819129
381850106,38185,H,1,2853.91903114555,108.778343812533,50.368840400271,121.154892564907,169.202750824524,777.361161437659,755.122040948712,420.360674254445,170.412741619822,208.390782111288,72.7668031713893,387.091983097562,1171.89443096725,557.82510587461,382.816790684435,239.150264556889,115.1404559648,618.184984853746,1954.57646100913,281.157585282677,1415.86138376135,207.313056524957,602.273287970922,281.87611932091,191.215673775895,87.0152573224763,46.1679888461888,314.467731882278,992.13679119734,109.25686068173,1438.0576473842,179.778926572606,569.621142996331,275.9489865537,191.601116908541,152.135007234412,68.9724671186115,303.717252971468,962.439669811787,171.900724600947,2416.04171648418,0.0,60.5220024743118,374.657279669124,389.721837875724,313.384757929569,171.479167504591,305.581290959774,800.695380071084,1201.99497574568,0.0,45.7887870764282,227.803885659785,187.819171614375,122.075209666388,144.942716507432,128.326812154694,345.23839306658,1214.04674073849,0.0,14.7332153978836,146.853394009339,201.902666261349,191.30954826318,26.536450997159,177.25447880508,455.456987004503,2426.35487498742,427.564156158133,544.756667675753,2853.91903114555,0.0
381850107,38185,H,1,2589.0733728989,50.0729948232837,58.9039946042501,63.8779438178105,141.356654756388,752.944363067826,780.430054363428,371.179027776983,137.378633329114,153.843786656543,79.0859197032697,259.436043481142,1139.16275435405,584.295913845358,300.325956055794,189.875533177439,115.977171985108,450.69051347732,1905.45315306176,232.929706359812,1346.74243886829,157.487581997284,614.244952420148,287.877850551634,167.649291593644,82.0835317311556,37.3992305744281,271.493527715446,992.080058495856,83.1688526569902,1242.3309340306,101.948461483858,524.917801933907,296.418063293724,132.67666446215,107.792001446284,78.5779414106801,179.196985761874,913.373094565908,149.760853702822,2307.2029969765,0.0,65.8648112726504,755.533805007185,336.223453146058,241.641586346909,97.5298363432276,225.621572328175,584.787932532293,1203.69054113153,0.0,30.9392898309764,471.423021970884,143.949588365245,96.078323351343,78.2463481746767,80.9011007191216,302.152868719283,1103.51245584497,0.0,34.925521441674,284.110783036301,192.273864780814,145.563262995566,19.2834881685509,144.720471609053,282.63506381301,2295.07831428741,293.995058611487,438.516088606989,2589.0733728989,0.0
381850108,38185,H,1,2496.03460883351,50.4324844089195,43.9735559959812,81.8049997696333,145.488435817818,528.859401926558,694.089995144259,433.301385825806,243.511803919917,177.811323316565,96.7612227080546,247.296521105177,877.071667509038,564.813576862602,416.725197167827,240.597380405058,149.530265783808,473.319816058377,1748.14224675051,274.57254602462,1236.09874869507,115.642336774415,459.637081373607,309.115438735362,199.227684275032,109.779578367207,42.6966291694481,225.661062210997,911.164206099338,99.273480384736,1259.93586013844,131.654184330763,417.434586135431,255.69813812724,217.497512892796,130.817802037851,106.83363661436,247.658753847379,836.978040651176,175.299065639884,2182.04560239954,0.0,45.9185790766629,541.441720179431,407.530217817414,278.727258580172,111.915129169854,248.294349776949,548.21834779906,1064.29713976907,0.0,38.3688339115496,325.722969154282,172.63497885679,89.6904721685059,98.0731136723654,83.6792189259161,256.127553079665,1117.74846263047,0.0,7.5497451651133,215.718751025149,234.895238960624,189.036786411666,13.8420154974882,164.615130851033,292.090794719395,2235.41763790643,260.616970927081,298.640799061498,2496.03460883351,0.0
381850109,38185,H,1,3317.6799662975,68.5796156277869,75.3616260273078,205.291615125094,201.160021895622,609.311287061403,878.664368952663,649.381217242044,204.379301633375,278.86379668814,146.687116044062,477.301274677878,990.492393810298,830.292429696945,525.908097393502,273.873827573834,219.811943145042,714.727330880643,2177.40172268465,425.550912732202,1642.08560001838,205.882793900368,519.479643540632,419.918975961901,283.169969829698,134.416441899648,79.2177748861301,321.313921789226,1133.34630964916,187.425368579991,1675.59436627912,271.41848077751,471.012750269666,410.373453735043,242.738127563804,139.457385674186,140.594168258911,393.413409091417,1044.05541303549,238.125544152211,2768.09189436071,0.0,62.207470025835,791.511220395969,447.214423419732,300.460031687876,123.160026761897,355.315698036621,688.22302403278,1433.56208140126,0.0,33.3413801826375,436.376203353372,209.69731809058,93.5353036910726,108.769240572246,188.158738235622,363.68389727573,1334.52981295945,0.0,28.8660898431975,355.135017042597,237.517105329152,206.924727996803,14.3907861896511,167.156959800999,324.53912675705,2883.91841627679,433.761550020708,560.548017455904,3213.67982816446,104.00013813304
381850110,38185,H,2,2211.77424540887,88.7489867128757,89.8606367146009,109.554198809982,209.689900874847,268.516460146613,581.830712807781,453.737120083684,221.546629332274,122.904809423403,65.3847905028073,392.73014234506,635.767615417278,486.169609012514,419.88807181364,165.218053955017,112.000752865358,590.027528492453,1433.4571169902,188.28959992621,1004.92692654262,184.497826202101,289.99817310026,226.860766771544,186.510455739422,67.2135616642244,49.8461430650689,285.214888739391,640.672602083455,79.0394357197747,1206.84731886625,208.232316142959,345.769442317018,259.30884224097,233.377616074218,98.004492290793,62.1546098002896,304.812639753063,792.784514906749,109.250164206435,1869.58096930505,0.0,38.7803903951213,389.796311056291,307.581849846992,314.373713064683,157.896108636624,192.225179595431,468.927416709909,816.330735672986,0.0,34.9035716017381,223.778645956238,78.8804624253401,74.1595370053093,125.347901009426,89.01351967682,190.247097998114,1053.25023363206,0.0,3.8768187933832,166.017665100052,228.701387421652,240.214176059373,32.5482076271974,103.211659918611,278.680318711795,1980.03752860181,231.736716807056,326.602647227632,2211.77424540887,0.0
381850111,38185,H,1,2949.96696978776,106.980217814263,82.3584721012287,95.0578317739468,121.29272166296,367.69523600191,799.870357661087,436.874907970658,290.291126385227,386.264404848033,263.281693568445,354.63497158319,711.291014710102,692.676794059212,382.582194298408,433.89719631824,374.884798818608,491.573982383804,1808.84688898748,649.546098416478,1371.70095671232,193.458382330857,316.188718651281,354.524437800507,198.414222840335,171.360375297165,137.754819792175,258.284753394456,875.97167736911,237.444525948754,1578.26601307544,161.176589252333,395.10229605882,338.152356258705,184.167971458074,262.536821021075,237.129979026432,233.289228989348,932.875211618368,412.101572467724,2621.62126505867,4.41436575295888,61.4848858730271,623.24933237773,459.631055661429,262.470136785352,111.127661693626,697.758633594924,401.48519331962,1203.17203344595,4.41436575295888,48.3139122751779,365.00398078056,164.792746133814,80.0754564929691,106.73733716101,295.793086263152,138.041148586311,1418.44923161271,0.0,13.1709735978492,258.24535159717,294.838309527615,182.394680292383,4.3903245326164,401.965547331771,263.444044733309,2701.02177498039,248.945194807371,349.23811333334,2862.96685423416,87.0001155536004
381850201,38185,H,1,1765.0199329865,47.3051440587669,26.3406888170487,48.8869226298531,80.6304602271841,499.494830812008,538.167874201019,199.910466544165,160.80077596889,117.955563880282,45.5272058472854,171.650667734701,771.270512703101,359.26496323581,232.186039552746,149.054300009239,81.5934497509054,302.277978940462,1299.25918431847,163.482769727567,970.560964705243,70.2651047721567,485.737037669658,217.75845529546,105.223279646667,51.4777225569173,40.0993647643845,140.939519235343,771.953752452378,57.6676930175219,794.458968281259,101.385562962544,285.533475033443,141.50650794035,126.962759906079,97.5765774523218,41.4940849865209,161.338459705118,527.305431866096,105.815076710045,1702.50659839494,0.0,52.2276416288575,280.262634681518,340.565776128782,198.211013756241,95.5883514584638,157.998436059919,577.652744681161,976.271719988276,0.0,35.2181336082689,189.174977294268,156.550909124685,57.3144876367234,73.0821971534265,57.4161559716989,407.514859199206,726.234878406667,0.0,17.0095080205887,91.0876573872501,184.014867004098,140.896526119517,22.5061543050372,100.582280088221,170.137885481955,1337.46298929808,427.556943688427,490.692764630544,1426.01948272592,339.000450260581
381850202,38185,H,1,1831.12526559801,52.1030559025538,21.9125738843732,54.7651481472114,100.516119001851,431.778980727524,508.057601989584,281.261043586113,130.369282303376,188.363401516527,61.9980585388915,178.984313349017,735.285701453485,364.352919509514,244.974045653315,209.965766779984,97.5625188526904,310.944582860737,1269.81922268185,250.361460055419,935.211683863299,81.7041615949937,370.782225707942,196.558784994137,136.8190118654,100.934136921308,48.4133627795173,142.941816601264,664.9002952897,127.369571972335,895.913581734706,97.2801517540237,364.503475745543,167.794134515377,108.155033787914,109.031629858675,49.1491560731731,168.002766259472,604.91892739215,122.991888083084,1501.22161534149,0.0,19.4953054070391,323.470857053533,234.49042797983,173.892940469426,102.809146809081,241.416370651733,405.646566970848,765.496210571361,0.0,12.2497752648499,163.751652522654,153.958619728524,83.9567836656639,86.7311375577736,112.626165301959,152.222076529937,735.725404770131,0.0,7.24553014218919,159.719204530879,80.5318082513066,89.9361568037625,16.0780092513074,128.790205349775,253.424490440911,1476.50578961196,354.619475986048,435.001300716321,1831.12526559801,0.0
381850203,38185,H,1,2105.07683255,59.0746418849001,42.1528914993475,96.3427302492508,113.899119435119,542.304261674389,445.212904005305,290.1520680088,121.451253862074,247.169061439456,147.317900491364,268.679662224814,753.335840555383,378.015805742144,250.833755884142,228.761898363849,225.449869779674,443.736097653264,1266.85377296592,394.486961930819,1023.45473136802,141.354013916764,349.257656587432,213.361174084047,114.26459935477,97.2374415120715,107.979845912936,218.043535911292,627.908199209608,177.50299624712,1081.62210118199,127.32564830805,404.078183967951,164.654631658097,136.569156529372,131.524456851777,117.470023866738,225.692561741972,638.945573756313,216.983965683699,1773.03496570308,0.0,41.9787462215477,496.11305738425,223.322922395355,92.0838560332746,6.3967495869315,310.188516614084,602.951117467636,850.479076549415,0.0,22.1798230282485,311.233279907524,83.7321972690054,27.4394377517561,5.16164257086321,149.845008049344,250.887687972674,922.555889153664,0.0,19.7989231932992,184.879777476727,139.590725126349,64.6444182815185,1.23510701606829,160.34350856474,352.063429494962,1850.12388551677,254.952947033231,301.884794393329,2105.07683255,0.0
381850204,38185,H,1,2179.65200403207,41.1612418968886,49.5567417024666,61.951394450403,179.463584659181,338.097588911476,344.55791553692,358.028835473581,306.679956557346,308.992525033909,191.162219809902,242.246810088576,560.637518204676,296.353464346664,415.477638418328,393.835726371239,271.100846602589,420.388432882475,1259.10882630579,500.154744843811,1091.98478482624,135.313098356373,291.667021646656,155.198044864738,197.139374041053,209.084845380067,103.582400537355,225.322035547476,639.69743808802,226.965311190746,1087.66721920583,106.933711732203,268.970496558019,141.155419481927,218.338264377275,184.750880991172,167.518446065235,195.066397334999,619.411388217767,273.189433653065,1777.06610703505,0.0,36.884600093933,465.460928655551,157.129549689567,129.139554703316,37.3391195800072,476.512281499445,474.600072813227,832.031446691428,0.0,19.8363905106484,267.211085192339,64.4008550260237,32.3710397156363,28.7406849818219,224.225556528589,195.24583473637,945.034660343618,0.0,17.0482095832846,198.249843463212,92.7286946635433,96.7685149876799,8.59843459818527,252.286724970856,279.354238076857,2000.68651364432,178.965490387749,234.353716159009,2166.65198676544,13.0000172666299
381850205,38185,H,1,2325.90399072125,38.4773265623386,60.7342748839221,82.9988620836011,134.904481207991,790.025047256191,513.239546484165,319.042889506449,194.738852243055,125.437181033405,66.305529460132,257.139369724031,1099.04602484252,407.547165087337,286.92827137288,186.046658117713,89.1965015767673,501.488053688173,1632.67322653954,191.742710493537,1151.32797784028,147.384963760913,528.817134055833,217.943692721303,160.823272621742,76.3940520209673,19.9648626595273,245.44508476731,838.741056885773,67.141836187202,1174.57601288096,109.754405963118,570.228890786689,189.603472366034,126.104998751139,109.652606096745,69.23163891724,256.042968920863,793.932169653767,124.600874306335,2095.86308242653,0.0,54.9831329608471,532.58549198751,303.949072134281,189.266584727289,75.4099738821871,173.98650484532,765.682321889095,992.226668342852,0.0,29.3511968229802,324.886501984592,136.197498698664,49.878740076067,53.8106979552638,64.4535964903404,333.648436314945,1103.63641408368,0.0,25.6319361378669,207.698990002918,167.751573435616,139.387844651222,21.5992759269233,109.532908354979,432.03388557415,2075.76035948535,250.143631235898,300.07548762064,2325.90399072125,0.0
381850206,38185,H,1,1874.26728383487,26.0700028989818,28.1277304406089,49.441603386802,80.9035680676896,591.157856533157,473.961966892173,215.365958048786,163.638820371287,162.726797971193,82.8729792241921,153.785227490013,875.582793756847,304.22994651876,211.227873447863,203.295281283277,126.146161338112,282.382861954544,1346.28464468494,245.599777195385,878.74310029883,103.562613624199,396.932698890063,138.285704105954,103.082821786753,86.8817815150514,49.997480376811,155.43547750484,618.408292560506,104.899330233484,995.524183536041,50.222613865814,478.650094866784,165.944242412807,108.145051661109,116.413499768226,76.1486809613008,126.947384449704,727.876352124437,140.700446961901,1658.21309622242,0.0,61.1211860636524,474.105051108192,150.678865300027,184.572408723324,70.3588400686411,247.492016310651,469.884728647929,759.620907493493,0.0,28.3645199457118,280.327656711447,39.6406362236753,67.4195206576834,47.3832976246506,102.626089254587,193.859187075738,898.592188728923,0.0,32.7566661179406,193.777394396745,111.038229076352,117.15288806564,22.9755424439906,144.865927056064,276.025541572191,1673.20843167476,201.058852160107,237.609213392717,1874.26728383487,0.0
