ant_id,geo_point_2d,adres_id,microcell,operateur,ant_techno,x,y,ant_adres_libel,num_cartoradio,num_support,ant_2g,ant_3g,ant_4g
297,"45.1904587106025,5.72635290362549",2542,NON,BYG,2G/3G/4G,1914193,4224768,4 Rue  Félix Poulat,1027818,1199920,OUI,OUI,OUI
298,"45.1851498791899,5.71957658646364",10738,NON,FREE,3G/4G,1913681,4224161,42 Rue Thiers,1103727,1279082,NON,OUI,OUI
299,"45.1780966098262,5.72217736619295",14905,NON,FREE,3G/4G,1913909,4223386,7 Rue Léo Lagrange,1107840,1284092,NON,OUI,OUI
300,"45.1816244724351,5.73200138253282",4696,NON,FREE,3G/4G,1914672,4223800,13 BIS Avenue Général Champon,1111838,1288882,NON,OUI,OUI
301,"45.1740007307735,5.71703966857597",4486,NON,FREE,3G/4G,1913525,4222914,126 Rue des Alliés,1145309,448302,NON,OUI,OUI
302,"45.1798148333177,5.70990247784044",5633,NON,BYG,3G/4G,1912941,4223543,37 Boulevard  Joseph Vallier,1153031,1332691,NON,OUI,OUI
303,"45.1815952052353,5.73202035708987",4696,NON,ORA,2G/3G/4G,1914672,4223800,13 BIS Avenue Général Champon,1163855,1288882,OUI,OUI,OUI
304,"45.1682913910104,5.73030825548586",12417,NON,FREE,3G/4G,1914587,4222317,34 Rue des Colibris,1218890,1402662,NON,OUI,OUI
261,"45.1830100262961,5.70538117291063",5975,NON,ORA,2G/3G/4G,1912574,4223886,30 BIS Rue Ampère,357260,637683,OUI,OUI,OUI
262,"45.1906054928674,5.73693647821345",3508,NON,SFR,2G/3G/4G,1915026,4224814,6 Rue Hébert,362850,451131,OUI,OUI,OUI
263,"45.1902807736049,5.72833874698264",9410,NON,SFR,2G/3G/4G,1914350,4224754,26 Rue Raoul Blanchard,367653,639769,OUI,OUI,OUI
264,"45.190434426997,5.72642334275504",2542,OUI,BYG,MICROCELL : 2G,1914199,4224766,4 Rue Félix Poulat,383508,289416,OUI,NON,NON
265,"45.1583632075155,5.73321013269729",3230,OUI,SFR,MICROCELL : 3G,1914854,4221227,6 Grand Place,391007,639781,NON,OUI,NON
266,"45.1906248370691,5.73695182641965",3508,NON,BYG,2G/3G/4G,1915026,4224814,6 Rue  Hébert,395051,451131,OUI,OUI,OUI
267,"45.2038045297333,5.70898730520457",3678,NON,ORA,2G/3G,1912780,4226205,36 Rue Henri Tarze,396743,637690,OUI,OUI,NON
268,"45.1777866446077,5.72442104123811",4763,NON,BYG,2G/3G/4G,1914089,4223356,31 Rue Général Ferrié,397461,641465,OUI,OUI,OUI
325,"45.1747846800031,5.73755609969782",5119,NON,ORA,2G/3G/4G,1915143,4223049,80 Avenue Jean Perrot,1325021,579273,OUI,OUI,OUI
345,"45.1690801999915,5.72997607470841",4530,NON,ORA,2G/3G/4G,1914559,4222396,3 Rue des Alliés,1304016,1506520,OUI,OUI,OUI
