type,geo_point_2d,id,code,city,name,visible,epci
clusters,"45.1084,5.67425",SEM:PAVILLON,SEM:GENPAVILLON,Varces-Allières-et-Risset,Pavillon,1,LaMetro
clusters,"45.17336,5.73851",SEM:PCLAUDEL,SEM:GENPCLAUDEL,Grenoble,Paul Claudel,1,LaMetro
clusters,"45.0577,5.77102",SEM:PEAGEDEV,SEM:GENPEAGEDEV,Vizille,Le Péage,1,LaMetro
clusters,"45.07057,5.67506",SEM:PELISIER,SEM:GENPELISIER,Varces-Allières-et-Risset,Pélissière,1,LaMetro
clusters,"45.15084,5.71482",SEM:PELLOUTI,SEM:GENPELLOUTI,Échirolles,Fernand Pelloutier,1,LaMetro
clusters,"45.17016,5.68682",SEM:PERCEVAL,SEM:GENPERCEVAL,Seyssinet-Pariset,Percevalière,1,LaMetro
clusters,"45.18771,5.75142",SEM:PERIBROS,SEM:GENPERIBROS,Saint-Martin-d'Hères,Péri - Brossolette,1,LaMetro
clusters,"45.26209,5.6247",SEM:PERIERES,SEM:GENPERIERES,Veurey-Voroize,Perrières,1,LaMetro
clusters,"45.12456,5.67937",SEM:PEROUSES,SEM:GENPEROUSES,Claix,Les Pérouses,1,LaMetro
clusters,"45.18935,5.81079",SEM:PERRIERE,SEM:GENPERRIERE,Gières,La Perrière,1,LaMetro
clusters,"45.06225,5.69018",SEM:PETIBRIO,SEM:GENPETIBRIO,Vif,Le Petit Brion,1,LaMetro
clusters,"45.04571,5.70237",SEM:PEUPLE,SEM:GENPEUPLE,Saint-Georges-de-Commiers,Les Peupliers,1,LaMetro
clusters,"45.16287,5.6853",SEM:PFMITTER,SEM:GENPFMITTER,Seyssins,Parc François Mitterrand,1,LaMetro
clusters,"45.14728,5.71347",SEM:PHEROULT,SEM:GENPHEROULT,Échirolles,Paul Héroult,1,LaMetro
clusters,"45.18388,5.79852",SEM:PIEDGIER,SEM:GENPIEDGIER,Gières,Pied de Gières,1,LaMetro
clusters,"45.17956,5.76397",SEM:PIERCOUR,SEM:GENPIERCOUR,Saint-Martin-d'Hères,Pierre Courtade,1,LaMetro
clusters,"45.16664,5.74646",SEM:PIERRELO,SEM:GENPIERRELO,Saint-Martin-d'Hères,Pierre Loti,1,LaMetro
clusters,"45.18128,5.75712",SEM:PIERSEMA,SEM:GENPIERSEMA,Saint-Martin-d'Hères,Pierre Sémard,1,LaMetro
clusters,"45.23565,5.67549",SEM:PINEA,SEM:GENPINEA,Saint-Égrève,La Pinéa - St Robert,1,LaMetro
clusters,"45.20888,5.77538",SEM:PISBUCLO,SEM:GENPISBUCLO,Meylan,Piscine des Buclos,1,LaMetro
clusters,"45.11379,5.72863",SEM:PLACA,SEM:GENPLACA,Champagnier,Place du Laca,1,LaMetro
clusters,"45.195,5.72917",SEM:PLACECYM,SEM:GENPLACECYM,Grenoble,Place Cymaise,1,LaMetro
clusters,"45.25319,5.71732",SEM:PLACEQUA,SEM:GENPLACEQUA,Quaix-en-Chartreuse,Quaix-en-Chartreuse Place,1,LaMetro
clusters,"45.25948,5.77706",SEM:PLACESAP,SEM:GENPLACESAP,Le Sappey-en-Chartreuse,Le Sappey-en-Chartreuse Place,1,LaMetro
clusters,"45.15583,5.68083",SEM:PLACEVIL,SEM:GENPLACEVIL,Seyssins,Seyssins Village,1,LaMetro
clusters,"45.19588,5.69065",SEM:PLACMARC,SEM:GENPLACMARC,Fontaine,Place du Marché Cachin,1,LaMetro
clusters,"45.06686,5.69213",SEM:PLAINE,SEM:GENPLAINE,Vif,La Plaine,1,LaMetro
clusters,"45.18805,5.78421",SEM:PLAINEDS,SEM:GENPLAINEDS,Gières,Plaine des Sports,1,LaMetro
clusters,"45.20276,5.76139",SEM:PLAINEFL,SEM:GENPLAINEFL,Meylan,Plaine Fleurie,1,LaMetro
clusters,"45.20876,5.76321",SEM:PLALOUIS,SEM:GENPLALOUIS,Meylan,Place de la Louisiane,1,LaMetro
clusters,"45.27869,5.71357",SEM:PLANF,SEM:GENPLANF,Proveysieux,Planfay Bas,1,LaMetro
clusters,"45.27874,5.71787",SEM:PLANFAY,SEM:GENPLANFAY,Proveysieux,Planfay Haut,1,LaMetro
clusters,"45.08933,5.6777",SEM:PLATANES,SEM:GENPLATANES,Varces-Allières-et-Risset,Les Platanes,1,LaMetro
clusters,"45.16115,5.73994",SEM:PLGEANTS,SEM:GENPLGEANTS,Grenoble,Les Géants,1,LaMetro
clusters,"45.20682,5.66281",SEM:PLIBERAT,SEM:GENPLIBERAT,Sassenage,Place de la Libération,1,LaMetro
clusters,"45.18209,5.79257",SEM:PLREPUBL,SEM:GENPLREPUBL,Gières,Place de la République,1,LaMetro
clusters,"45.15715,5.73384",SEM:POLESUD,SEM:GENPOLESUD,Grenoble,Polesud - Alpexpo,1,LaMetro
clusters,"45.1486,5.72251",SEM:POLOTTI,SEM:GENPOLOTTI,Échirolles,Antoine Polotti,1,LaMetro
clusters,"45.28045,5.70961",SEM:POMAR,SEM:GENPOMAR,Proveysieux,Pomarey Bas,1,LaMetro
clusters,"45.28232,5.71079",SEM:POMAREY,SEM:GENPOMAREY,Proveysieux,Pomarey,1,LaMetro
clusters,"45.08765,5.67206",SEM:POMMERAI,SEM:GENPOMMERAI,Varces-Allières-et-Risset,La Pommeraie,1,LaMetro
clusters,"45.0875,5.73031",SEM:PONTCN,SEM:GENPONTCN,Champ-sur-Drac,Pont de Champ,1,LaMetro
clusters,"45.17823,5.79043",SEM:PONTDEV,SEM:GENPONTDEV,Gières,Pont de Venon,1,LaMetro
clusters,"45.02852,5.65171",SEM:PONTGENE,SEM:GENPONTGENE,Vif,Le Pont de Genevrey,1,LaMetro
clusters,"45.08679,5.78887",SEM:PONTMAS,SEM:GENPONTMAS,Vizille,Le Pont du Mas,1,LaMetro
clusters,"45.1814,5.76347",SEM:PORTAILR,SEM:GENPORTAILR,Saint-Martin-d'Hères,Portail Rouge,1,LaMetro
clusters,"45.18253,5.77665",SEM:PORTGRES,SEM:GENPORTGRES,Saint-Martin-d'Hères,Porte du Grésivaudan,1,LaMetro
clusters,"45.1211,5.67214",SEM:POSTE,SEM:GENPOSTE,Claix,Poste,1,LaMetro
clusters,"45.17088,5.75859",SEM:POTIE,SEM:GENPOTIE,Saint-Martin-d'Hères,Potié,1,LaMetro
